Old Key,New Key
dmp.steps.summary.table.header.completeness,dmp.steps.summary.table.header.completeness
dmp.steps.summary.table.header.status,dmp.steps.summary.table.header.status
dmp.steps.summary.table.header.step,dmp.steps.summary.table.header.step
dmp.steps.summary.title,dmp.steps.summary.title
dmp.success.save,dmp.success.save
dmp.success.update,dmp.success.update
dmp.success.version.save,dmp.success.version.save
duration,consent-popup.dataRetention.duration
enum.accessright.NONE,enum.accessright.NONE
enum.accessright.READ,enum.accessright.READ
enum.accessright.WRITE,enum.accessright.WRITE
enum.agreement.CONFIDENTIALITY_AGREEMENT,enum.agreement.CONFIDENTIALITY_AGREEMENT
enum.agreement.CONSORTIUM_AGREEMENT,enum.agreement.CONSORTIUM_AGREEMENT
enum.agreement.DATA_PROCESSING_AGREEMENT,enum.agreement.DATA_PROCESSING_AGREEMENT
enum.agreement.DATA_TRANSFER_AGREEMENT,enum.agreement.DATA_TRANSFER_AGREEMENT
enum.agreement.JOINT_CONTROL_AGREEMENT,enum.agreement.JOINT_CONTROL_AGREEMENT
enum.agreement.OTHER,enum.agreement.OTHER
enum.compliance.ANONYMISATION,enum.compliance.ANONYMISATION
enum.compliance.ENCRYPTION,enum.compliance.ENCRYPTION
enum.compliance.INFORMED_CONSENT,enum.compliance.INFORMED_CONSENT
enum.compliance.OTHER,enum.compliance.OTHER
enum.compliance.PSEUDONYMISATION,enum.compliance.PSEUDONYMISATION
enum.contributor.role.DATA_COLLECTOR,enum.contributor.role.DATA_COLLECTOR
enum.contributor.role.DATA_CURATOR,enum.contributor.role.DATA_CURATOR
enum.contributor.role.DATA_MANAGER,enum.contributor.role.DATA_MANAGER
enum.contributor.role.DISTRIBUTOR,enum.contributor.role.DISTRIBUTOR
enum.contributor.role.EDITOR,enum.contributor.role.EDITOR
enum.contributor.role.HOSTING_INSTITUTION,enum.contributor.role.HOSTING_INSTITUTION
enum.contributor.role.OTHER,enum.contributor.role.OTHER
enum.contributor.role.PRINCIPAL_INVESTIGATOR,enum.contributor.role.PRINCIPAL_INVESTIGATOR
enum.contributor.role.PRODUCER,enum.contributor.role.PRODUCER
enum.contributor.role.PROJECT_COORDINATOR,enum.contributor.role.PROJECT_COORDINATOR
enum.contributor.role.PROJECT_LEADER,enum.contributor.role.PROJECT_LEADER
enum.contributor.role.PROJECT_MANAGER,enum.contributor.role.PROJECT_MANAGER
enum.contributor.role.PROJECT_MEMBER,enum.contributor.role.PROJECT_MEMBER
enum.contributor.role.REGISTRATION_AGENCY,enum.contributor.role.REGISTRATION_AGENCY
enum.contributor.role.REGISTRATION_AUTHORITY,enum.contributor.role.REGISTRATION_AUTHORITY
enum.contributor.role.RELATED_PERSON,enum.contributor.role.RELATED_PERSON
enum.contributor.role.RESEARCHER,enum.contributor.role.RESEARCHER
enum.contributor.role.RESEARCH_GROUP,enum.contributor.role.RESEARCH_GROUP
enum.contributor.role.RIGHTS_HOLDER,enum.contributor.role.RIGHTS_HOLDER
enum.contributor.role.SPONSOR,enum.contributor.role.SPONSOR
enum.contributor.role.SUPERVISOR,enum.contributor.role.SUPERVISOR
enum.contributor.role.WORK_PACKAGE_LEADER,enum.contributor.role.WORK_PACKAGE_LEADER
enum.costs.DATABASE,enum.costs.DATABASE
enum.costs.DATA_ACQUISITION,enum.costs.DATA_ACQUISITION
enum.costs.FILE_BASED_STORAGE,enum.costs.FILE_BASED_STORAGE
enum.costs.HARDWARE_AND_INFRASTRUCTURE,enum.costs.HARDWARE_AND_INFRASTRUCTURE
enum.costs.LEGAL_ADVICE,enum.costs.LEGAL_ADVICE
enum.costs.OTHER,enum.costs.OTHER
enum.costs.PERSONNEL,enum.costs.PERSONNEL
enum.costs.REPOSITORY,enum.costs.REPOSITORY
enum.costs.SOFTWARE_LICENSE,enum.costs.SOFTWARE_LICENSE
enum.costs.TRAINING,enum.costs.TRAINING
enum.dataaccess.CLOSED,enum.dataaccess.CLOSED
enum.dataaccess.OPEN,enum.dataaccess.OPEN
enum.dataaccess.RESTRICTED,enum.dataaccess.RESTRICTED
enum.dataquality.CALIBRATION,enum.dataquality.CALIBRATION
enum.dataquality.DATA_ENTRY_VALIDATION,enum.dataquality.DATA_ENTRY_VALIDATION
enum.dataquality.OTHERS,enum.dataquality.OTHERS
enum.dataquality.PEER_REVIEW_OF_DATA,enum.dataquality.PEER_REVIEW_OF_DATA
enum.dataquality.REPEATED_SAMPLES_OR_MEASUREMENTS,enum.dataquality.REPEATED_SAMPLES_OR_MEASUREMENTS
enum.dataquality.REPRESENTATION_WITH_CONTROLLED_VOCABULARIES,enum.dataquality.REPRESENTATION_WITH_CONTROLLED_VOCABULARIES
enum.dataquality.STANDARDISED_DATA_CAPTURE,enum.dataquality.STANDARDISED_DATA_CAPTURE
enum.dataset.type.ARCHIVED_DATA,enum.dataset.type.ARCHIVED_DATA
enum.dataset.type.AUDIOVISUAL_DATA,enum.dataset.type.AUDIOVISUAL_DATA
enum.dataset.type.CONFIGURATION_DATA,enum.dataset.type.CONFIGURATION_DATA
enum.dataset.type.DATABASES,enum.dataset.type.DATABASES
enum.dataset.type.IMAGES,enum.dataset.type.IMAGES
enum.dataset.type.NETWORKBASED_DATA,enum.dataset.type.NETWORKBASED_DATA
enum.dataset.type.OTHER,enum.dataset.type.OTHER
enum.dataset.type.PLAIN_TEXT,enum.dataset.type.PLAIN_TEXT
enum.dataset.type.RAW_DATA,enum.dataset.type.RAW_DATA
enum.dataset.type.SCIENTIFIC_STATISTICAL_DATA,enum.dataset.type.SCIENTIFIC_STATISTICAL_DATA
enum.dataset.type.SOFTWARE_APPLICATIONS,enum.dataset.type.SOFTWARE_APPLICATIONS
enum.dataset.type.SOURCE_CODE,enum.dataset.type.SOURCE_CODE
enum.dataset.type.STANDARD_OFFICE_DOCUMENTS,enum.dataset.type.STANDARD_OFFICE_DOCUMENTS
enum.dataset.type.STRUCTURED_GRAPHICS,enum.dataset.type.STRUCTURED_GRAPHICS
enum.dataset.type.STRUCTURED_TEXT,enum.dataset.type.STRUCTURED_TEXT
enum.securitymeasure.ADDITIONAL_LOGIN,enum.securitymeasure.ADDITIONAL_LOGIN
enum.securitymeasure.AUTOMATIC_LOCKING_OF_CLIENTS,enum.securitymeasure.AUTOMATIC_LOCKING_OF_CLIENTS
enum.securitymeasure.ENCRYPTION_OF_SYSTEMS,enum.securitymeasure.ENCRYPTION_OF_SYSTEMS
enum.securitymeasure.INDIVIDUAL_LOGIN,enum.securitymeasure.INDIVIDUAL_LOGIN
enum.securitymeasure.LOCKED_STORAGE,enum.securitymeasure.LOCKED_STORAGE
enum.securitymeasure.OTHER,enum.securitymeasure.OTHER
env.text,env.text
env.title,environment-banner.title
fair,fair
form.changes.saved,actions-bar.status.saved
form.changes.unsaved,actions-bar.status.unsaved
form.error.doi,validation.error.doi
form.error.duplicateDoi,validation.error.doiDuplicate
form.error.empty,validation.error.invalidValue
form.error.maxlength,validation.error.maxLength
form.error.orcid,validation.error.orcid
form.error.pattern.currency,validation.error.currencyFormat
form.error.required,validation.error.required
form.error.uri,validation.error.uri
form.error.url,validation.error.url
gdpr.info,gdpr.info
gdpr.title,gdpr.title
heading,consent-popup.title
help.ethical.ethicalIssues,dmp.steps.legal.help.ethicalIssues
help.ethical.humanParticipants,dmp.steps.legal.help.humanParticipants
help.legal.personalDataCompliance,dmp.steps.legal.help.personalDataCompliance
help.legal.sensitiveDataSecurity,dmp.steps.legal.help.sensitiveDataSecurity
http.error.errorCodes.RE3DATA_NOT_FOUND,http.error.errorCodes.RE3DATA_NOT_FOUND
http.error.errorCodes.RE3DATA_NOT_AVAILABLE,http.error.errorCodes.RE3DATA_NOT_AVAILABLE
http.error.errorCodes.RE3DATA_UNEXPECTED_ERROR,http.error.errorCodes.RE3DATA_UNEXPECTED_ERROR
http.error.errorCodes.RE3DATA_RECOMMENDED_NOT_FOUND,http.error.errorCodes.RE3DATA_RECOMMENDED_NOT_FOUND
http.error.errorCodes.RE3DATA_RECOMMENDED_NOT_AVAILABLE,http.error.errorCodes.RE3DATA_RECOMMENDED_NOT_AVAILABLE
http.error.errorCodes.RE3DATA_RECOMMENDED_UNEXPECTED_ERROR,http.error.errorCodes.RE3DATA_RECOMMENDED_UNEXPECTED_ERROR
http.error.errorCodes.ORCID_PERSON_NOT_FOUND,http.error.errorCodes.ORCID_PERSON_NOT_FOUND
http.error.errorCodes.ORCID_NOT_AVAILABLE,http.error.errorCodes.ORCID_NOT_AVAILABLE
http.error.errorCodes.ORCID_UNEXPECTED_ERROR,http.error.errorCodes.ORCID_UNEXPECTED_ERROR
http.error.errorCodes.OPENAIRE_NOT_FOUND,http.error.errorCodes.OPENAIRE_NOT_FOUND
http.error.errorCodes.OPENAIRE_NOT_AVAILABLE,http.error.errorCodes.OPENAIRE_NOT_AVAILABLE
http.error.errorCodes.OPENAIRE_UNEXPECTED_ERROR,http.error.errorCodes.OPENAIRE_UNEXPECTED_ERROR
http.error.errorCodes.GOTENBERG_NOT_AVAILABLE,http.error.errorCodes.GOTENBERG_NOT_AVAILABLE
http.error.errorCodes.GOTENBERG_UNEXPECTED_ERROR,http.error.errorCodes.GOTENBERG_UNEXPECTED_ERROR
http.error.errorCodes.PURE_NOT_FOUND,http.error.errorCodes.PURE_NOT_FOUND
http.error.errorCodes.PURE_NOT_AVAILABLE,http.error.errorCodes.PURE_NOT_AVAILABLE
http.error.errorCodes.PURE_UNEXPECTED_ERROR,http.error.errorCodes.PURE_UNEXPECTED_ERROR
http.error.0,http.error.0
http.error.404,http.error.404
http.error.500,http.error.500
http.error.503,http.error.503
http.error.access.delete,http.error.access.delete
http.error.access.load,http.error.access.load
http.error.access.save,http.error.access.save
http.error.admin.recommended-repositories.delete,http.error.recommended-repositories.delete
http.error.admin.recommended-repositories.load,http.error.recommended-repositories.load
http.error.admin.recommended-repositories.save,http.error.recommended-repositories.save
http.error.consent.edit,http.error.consent.edit
http.error.consent.one,http.error.consent.one
http.error.document,http.error.document
http.error.fileanalysis,http.error.fileanalysis
http.error.openaire,http.error.openaire
http.error.plans.delete,http.error.plans.delete
http.error.plans.load.all,http.error.plans.load.all
http.error.plans.load.one,http.error.plans.load.one
http.error.plans.load.yours,http.error.plans.load.yours
http.error.plans.save,http.error.plans.save
http.error.plans.update,http.error.plans.update
http.error.projectmembers,http.error.projectmembers
http.error.projects,http.error.projects
http.error.repositories.all,http.error.repositories.all
http.error.repositories.one,http.error.repositories.one
http.error.repositories.recommended,http.error.repositories.recommended
http.error.repositories.search,http.error.repositories.search
http.error.standard,http.error.standard
http.error.storageErrors.invalidUrl,http.error.storageErrors.invalidUrl
http.error.storageErrors.lastTranslation,http.error.storageErrors.lastTranslation
http.error.storageErrors.stillInUse,http.error.storageErrors.stillInUse
http.error.storages,http.error.storages
http.error.versions.load,http.error.versions.load
http.error.versions.revision,http.error.versions.revision
http.error.versions.save,http.error.versions.save
http.success.admin.recommended-repositories.delete,http.success.recommended-repositories.delete
http.success.storage.add,http.success.storage.add
http.success.storage.delete,http.success.storage.delete
http.success.storage.edit,http.success.storage.edit
http.success.storage.translations.add,http.success.storage.translations.add
http.success.storage.translations.delete,http.success.storage.translations.delete
http.success.storage.translations.edit,http.success.storage.translations.edit
info.cris,info.cris
info.dataset.none,dmp.steps.data.specify.info.none
info.dataset.unknown,info.dataset.unknown
info.documentation.metadata,dmp.steps.documentation.info.metadata
info.ethical.committeeReviewed.mail.link,"dmp.steps.legal.info.committeeReviewed.mail.link"""
info.ethical.committeeReviewed.mail.text,dmp.steps.legal.info.committeeReviewed.mail.text
info.ethical.committeeReviewed.prefix,dmp.steps.legal.info.committeeReviewed.prefix
info.ethical.committeeReviewed.suffix,dmp.steps.legal.info.committeeReviewed.suffix
info.ethical.ethicalIssues.researchEthics.link,dmp.steps.legal.info.ethicalIssues.researchEthics.link
info.ethical.ethicalIssues.researchEthics.text,dmp.steps.legal.info.ethicalIssues.researchEthics.text
info.ethical.ethicalIssues.text,dmp.steps.legal.info.ethicalIssues.text
info.ethical.humanParticipants.middle,dmp.steps.legal.info.humanParticipants.middle
info.ethical.humanParticipants.prefix,dmp.steps.legal.info.humanParticipants.prefix
info.ethical.humanParticipants.researchEthics.link,dmp.steps.legal.info.humanParticipants.researchEthics.link
info.ethical.humanParticipants.researchEthics.text,dmp.steps.legal.info.humanParticipants.researchEthics.text
info.ethical.humanParticipants.researchEthicsCoordination.link,dmp.steps.legal.info.humanParticipants.researchEthicsCoordination.link
info.ethical.humanParticipants.researchEthicsCoordination.text,dmp.steps.legal.info.humanParticipants.researchEthicsCoordination.text
info.repositories.retention,dmp.steps.repositories.info.retention
information.purpose.registration.id,consent-popup.personalData.institutionalId
information.purpose.registration.label,consent-popup.personalData.registrationLabel
information.purpose.registration.mail,consent-popup.personalData.email
information.purpose.registration.name,consent-popup.personalData.fullName
information.text,consent-popup.personalData.processingAgreement
landing-page.servers-down,landing.servers-down
landing-page.servers-down-retrying,landing.servers-down-retrying
landing-page.servers-up,landing.servers-up
landing-page.start,landing.start
landing-page.title,landing.title
languages,languages
layout.dataprotection.link,sidebar.footer.data-protection-declaration.link
layout.dataprotection.text,sidebar.footer.data-protection-declaration
layout.gdpr,sidebar.footer.gdpr-info
layout.icon.dataAlert,sidebar.footer.collapsed.hint
layout.impressum.link,sidebar.footer.impressum.link
layout.impressum.text,sidebar.footer.impressum
layout.logo.link,info.how-to-create.tool.link
layout.logo.text,layout.logo.text
layout.logout,layout.logout
layout.menu.admin,sidebar.navigation.admin
layout.menu.adminSection,admin.dashboard.section-intro
layout.menu.greeting,layout.menu.greeting
layout.menu.home,sidebar.navigation.home
layout.menu.mobile.close,sidebar.header.button.hint
layout.menu.plans,sidebar.navigation.dmps
layout.menu.section,dashboard.home.section-intro
layout.menu.titleDashboard,admin.dashboard.title
layout.termsandconditions.link,sidebar.footer.terms-and-conditions.link
layout.termsandconditions.text,sidebar.footer.terms-and-conditions
layout.version,sidebar.footer.version
license.wizard.answer.copyleft,license-wizard.answer.copyleft
license.wizard.answer.data,license-wizard.answer.data
license.wizard.answer.executable,license-wizard.answer.executable
license.wizard.answer.library,license-wizard.answer.library
license.wizard.answer.licenseInteropSoftware,license-wizard.answer.licenseInteropSoftware
license.wizard.answer.next,license-wizard.answer.next
license.wizard.answer.software,license-wizard.answer.software
license.wizard.info,license-wizard.info
license.wizard.legalWarning,license-wizard.legalWarning
license.wizard.license.agpl1.description,license-wizard.license.agpl1.description
license.wizard.license.agpl1.name,license-wizard.license.agpl1.name
license.wizard.license.agpl1plus.description,license-wizard.license.agpl1plus.description
license.wizard.license.agpl1plus.name,license-wizard.license.agpl1plus.name
license.wizard.license.agpl3.description,license-wizard.license.agpl3.description
license.wizard.license.agpl3.name,license-wizard.license.agpl3.name
license.wizard.license.agpl3plus.description,license-wizard.license.agpl3plus.description
license.wizard.license.agpl3plus.name,license-wizard.license.agpl3plus.name
license.wizard.license.apache1.description,license-wizard.license.apache1.description
license.wizard.license.apache1.name,license-wizard.license.apache1.name
license.wizard.license.apache1_1.description,license-wizard.license.apache1_1.description
license.wizard.license.apache1_1.name,license-wizard.license.apache1_1.name
license.wizard.license.apache2.description,license-wizard.license.apache2.description
license.wizard.license.apache2.name,license-wizard.license.apache2.name
license.wizard.license.artistic1.description,license-wizard.license.artistic1.description
license.wizard.license.artistic1.name,license-wizard.license.artistic1.name
license.wizard.license.artistic1Perl.description,license-wizard.license.artistic1Perl.description
license.wizard.license.artistic1Perl.name,license-wizard.license.artistic1Perl.name
license.wizard.license.artistic2.description,license-wizard.license.artistic2.description
license.wizard.license.artistic2.name,license-wizard.license.artistic2.name
license.wizard.license.bsd2c.description,license-wizard.license.bsd2c.description
license.wizard.license.bsd2c.name,license-wizard.license.bsd2c.name
license.wizard.license.bsd3c.description,license-wizard.license.bsd3c.description
license.wizard.license.bsd3c.name,license-wizard.license.bsd3c.name
license.wizard.license.ccBy.description,license-wizard.license.ccBy.description
license.wizard.license.ccBy.name,license-wizard.license.ccBy.name
license.wizard.license.ccByNc.description,license-wizard.license.ccByNc.description
license.wizard.license.ccByNc.name,license-wizard.license.ccByNc.name
license.wizard.license.ccByNcNd.description,license-wizard.license.ccByNcNd.description
license.wizard.license.ccByNcNd.name,license-wizard.license.ccByNcNd.name
license.wizard.license.ccByNcSa.description,license-wizard.license.ccByNcSa.description
license.wizard.license.ccByNcSa.name,license-wizard.license.ccByNcSa.name
license.wizard.license.ccByNd.description,license-wizard.license.ccByNd.description
license.wizard.license.ccByNd.name,license-wizard.license.ccByNd.name
license.wizard.license.ccBySa.description,license-wizard.license.ccBySa.description
license.wizard.license.ccBySa.name,license-wizard.license.ccBySa.name
license.wizard.license.ccPublicDomain.description,license-wizard.license.ccPublicDomain.description
license.wizard.license.ccPublicDomain.name,license-wizard.license.ccPublicDomain.name
license.wizard.license.ccZero.description,license-wizard.license.ccZero.description
license.wizard.license.ccZero.name,license-wizard.license.ccZero.name
license.wizard.license.cddl1.description,license-wizard.license.cddl1.description
license.wizard.license.cddl1.name,license-wizard.license.cddl1.name
license.wizard.license.cddl1_1.description,license-wizard.license.cddl1_1.description
license.wizard.license.cddl1_1.name,license-wizard.license.cddl1_1.name
license.wizard.license.custom.description,license-wizard.license.custom.description
license.wizard.license.custom.name,license-wizard.license.custom.name
license.wizard.license.epl1.description,license-wizard.license.epl1.description
license.wizard.license.epl1.name,license-wizard.license.epl1.name
license.wizard.license.epl2.description,license-wizard.license.epl2.description
license.wizard.license.epl2.name,license-wizard.license.epl2.name
license.wizard.license.gpl2.description,license-wizard.license.gpl2.description
license.wizard.license.gpl2.name,license-wizard.license.gpl2.name
license.wizard.license.gpl2plus.description,license-wizard.license.gpl2plus.description
license.wizard.license.gpl2plus.name,license-wizard.license.gpl2plus.name
license.wizard.license.gpl3.description,license-wizard.license.gpl3.description
license.wizard.license.gpl3.name,license-wizard.license.gpl3.name
license.wizard.license.gpl3plus.description,license-wizard.license.gpl3plus.description
license.wizard.license.gpl3plus.name,license-wizard.license.gpl3plus.name
license.wizard.license.lgpl2.description,license-wizard.license.lgpl2.description
license.wizard.license.lgpl2.name,license-wizard.license.lgpl2.name
license.wizard.license.lgpl2_1.description,license-wizard.license.lgpl2_1.description
license.wizard.license.lgpl2_1.name,license-wizard.license.lgpl2_1.name
license.wizard.license.lgpl2_1plus.description,license-wizard.license.lgpl2_1plus.description
license.wizard.license.lgpl2_1plus.name,license-wizard.license.lgpl2_1plus.name
license.wizard.license.lgpl2plus.description,license-wizard.license.lgpl2plus.description
license.wizard.license.lgpl2plus.name,license-wizard.license.lgpl2plus.name
license.wizard.license.lgpl3.description,license-wizard.license.lgpl3.description
license.wizard.license.lgpl3.name,license-wizard.license.lgpl3.name
license.wizard.license.lgpl3plus.description,license-wizard.license.lgpl3plus.description
license.wizard.license.lgpl3plus.name,license-wizard.license.lgpl3plus.name
license.wizard.license.mit.description,license-wizard.license.mit.description
license.wizard.license.mit.name,license-wizard.license.mit.name
license.wizard.license.mpl1.description,license-wizard.license.mpl1.description
license.wizard.license.mpl1.name,license-wizard.license.mpl1.name
license.wizard.license.mpl1_1.description,license-wizard.license.mpl1_1.description
license.wizard.license.mpl1_1.name,license-wizard.license.mpl1_1.name
license.wizard.license.mpl2.description,license-wizard.license.mpl2.description
license.wizard.license.mpl2.name,license-wizard.license.mpl2.name
license.wizard.license.nolicense.description,license-wizard.license.nolicense.description
license.wizard.license.nolicense.name,license-wizard.license.nolicense.name
license.wizard.license.odbl.description,license-wizard.license.odbl.description
license.wizard.license.odbl.name,license-wizard.license.odbl.name
license.wizard.license.odcBy.description,license-wizard.license.odcBy.description
license.wizard.license.odcBy.name,license-wizard.license.odcBy.name
license.wizard.license.pddl.description,license-wizard.license.pddl.description
license.wizard.license.pddl.name,license-wizard.license.pddl.name
license.wizard.none.found,license-wizard.none.found
license.wizard.question.allowDerivativeWorks,license-wizard.question.allowDerivativeWorks
license.wizard.question.cantLicense,license-wizard.question.cantLicense
license.wizard.question.commercialUse,license-wizard.question.commercialUse
license.wizard.question.copyleft,license-wizard.question.copyleft
license.wizard.question.data,license-wizard.question.data
license.wizard.question.decideAttributes,license-wizard.question.decideAttributes
license.wizard.question.ensureLicensing,license-wizard.question.ensureLicensing
license.wizard.question.licenseInteropData,license-wizard.question.licenseInteropData
license.wizard.question.licenseInteropSoftware,license-wizard.question.licenseInteropSoftware
license.wizard.question.root,license-wizard.question.root
license.wizard.question.shareAlike,license-wizard.question.shareAlike
license.wizard.question.software,license-wizard.question.software
license.wizard.question.strongCopyleft,license-wizard.question.strongCopyleft
license.wizard.reset,license-wizard.reset
license.wizard.search,license-wizard.search
license.wizard.select,license-wizard.select
license.wizard.title,license-wizard.title
metadatastandards,dmp.steps.repositories.metadatastandards
no,no
or,or
plans.alldmps,plans.alldmps
plans.create.dmp,plans.create.dmp
plans.loading.failed,plans.loading.failed
plans.loading.load,plans.loading.load
plans.myDmpsDescription,dashboard.cards.my-dmps.back-side
plans.mydmps,dashboard.cards.my-dmps.front-side
plans.table.actions.access,plans.table.actions.access
plans.table.actions.delete,plans.table.actions.delete
plans.table.actions.edit,plans.table.actions.edit
plans.table.actions.history,plans.table.actions.history
plans.table.empty,plans.table.empty
plans.table.export.doc,plans.table.export.doc
plans.table.export.json,plans.table.export.json
plans.table.header.contact,plans.table.header.contact
plans.table.header.created,plans.table.header.created
plans.table.header.modified,plans.table.header.modified
plans.table.header.title,plans.table.header.title
plans.table.header.version,plans.table.header.version
plans.table.header.version_name,plans.table.header.version_name
plans.table.header.version_tag,plans.table.header.version_tag
plans.table.nocontact,plans.table.nocontact
plans.table.nodatafilter,plans.table.nodatafilter
plans.table.search,plans.table.search
preview.info,preview.info
preview.requestTemplateSelection,preview.requestTemplateSelection
preview.templateSelection,preview.templateSelection
preview.title,preview.title
title,title
treeselect.filter,treeselect.filter
treeselect.options,treeselect.options
treeselect.toggle,treeselect.toggle
upload.file.choose,file-upload.button.choose
upload.file.dragdrop,file-upload.dropzone.hint
versions.editor,dmp.versions.editor
versions.list.no.data,dmp.versions.list.no.data
versions.versionDate,dmp.versions.versionDate
versions.versionId,dmp.versions.versionId
versions.versionName,dmp.versions.versionName
versions.view.button.collapse,dmp.versions.view.button.collapse
versions.view.button.expand,dmp.versions.view.button.expand
versions.view.button.goto.latest,dmp.versions.view.button.goto.latest
versions.view.button.versions,dmp.versions.view.button.versions
versions.view.contributors.heading,dmp.versions.view.contributors.heading
versions.view.costs.heading,dmp.versions.view.costs.heading
versions.view.datasets.data.access.label,dmp.versions.view.datasets.data.access.label
versions.view.datasets.data.access.other,dmp.versions.view.datasets.data.access.other
versions.view.datasets.data.access.public,dmp.versions.view.datasets.data.access.public
versions.view.datasets.data.access.selected,dmp.versions.view.datasets.data.access.selected
versions.view.datasets.data.none,dmp.versions.view.datasets.data.none
versions.view.datasets.data.unknown,dmp.versions.view.datasets.data.unknown
versions.view.datasets.deletion.date,dmp.versions.view.datasets.deletion.date
versions.view.datasets.deletion.person,dmp.versions.view.datasets.deletion.person
versions.view.datasets.deletion.reason,dmp.versions.view.datasets.deletion.reason
versions.view.datasets.description,dmp.versions.view.datasets.description
versions.view.datasets.heading,dmp.versions.view.datasets.heading
versions.view.datasets.license,dmp.versions.view.datasets.license
versions.view.datasets.restrictions.label,dmp.versions.view.datasets.restrictions.label
versions.view.datasets.restrictions.legal,dmp.versions.view.datasets.restrictions.legal
versions.view.datasets.restrictions.personal,dmp.versions.view.datasets.restrictions.personal
versions.view.datasets.restrictions.sensitive,dmp.versions.view.datasets.restrictions.sensitive
versions.view.datasets.retention.period,dmp.versions.view.datasets.retention.period
versions.view.datasets.size,dmp.versions.view.datasets.size
versions.view.documentation.data.generation,dmp.versions.view.documentation.data.generation
versions.view.documentation.data.quality,dmp.versions.view.documentation.data.quality
versions.view.documentation.documentation,dmp.versions.view.documentation.documentation
versions.view.documentation.heading,dmp.versions.view.documentation.heading
versions.view.documentation.metadata,dmp.versions.view.documentation.metadata
versions.view.documentation.structure,dmp.versions.view.documentation.structure
versions.view.ethical.committee.reviewed,dmp.versions.view.ethical.committee.reviewed
versions.view.ethical.human.participants,dmp.versions.view.ethical.human.participants
versions.view.ethical.issues,dmp.versions.view.ethical.issues
versions.view.legal.heading,dmp.versions.view.legal.heading
versions.view.legal.personal.data.compliance,dmp.versions.view.legal.personal.data.compliance
versions.view.legal.personal.data.other.compliance,dmp.versions.view.legal.personal.data.other.compliance
versions.view.legal.personal.data.present,dmp.versions.view.legal.personal.data.present
versions.view.legal.restrictions.comment,dmp.versions.view.legal.restrictions.comment
versions.view.legal.restrictions.data.rights.access,dmp.versions.view.legal.restrictions.data.rights.access
versions.view.legal.restrictions.documents,dmp.versions.view.legal.restrictions.documents
versions.view.legal.restrictions.other.documents,dmp.versions.view.legal.restrictions.other.documents
versions.view.legal.restrictions.present,dmp.versions.view.legal.restrictions.present
versions.view.legal.sensitive.data.access,dmp.versions.view.legal.sensitive.data.access
versions.view.legal.sensitive.data.other.security,dmp.versions.view.legal.sensitive.data.other.security
versions.view.legal.sensitive.data.present,dmp.versions.view.legal.sensitive.data.present
versions.view.legal.sensitive.data.security,dmp.versions.view.legal.sensitive.data.security
versions.view.project.heading,dmp.versions.view.project.heading
versions.view.repositories.datasets,dmp.versions.view.repositories.datasets
versions.view.repositories.heading,dmp.versions.view.repositories.heading
versions.view.reuse.access.info.closed,dmp.versions.view.reuse.access.info.closed
versions.view.reuse.access.info.restricted,dmp.versions.view.reuse.access.info.restricted
versions.view.reuse.heading,dmp.versions.view.reuse.heading
versions.view.reuse.restricted.data.access,dmp.versions.view.reuse.restricted.data.access
versions.view.reuse.target.audience,dmp.versions.view.reuse.target.audience
versions.view.reuse.tools,dmp.versions.view.reuse.tools
versions.view.storage.backup.frequency,dmp.versions.view.storage.backup.frequency
versions.view.storage.backup.location,dmp.versions.view.storage.backup.location
versions.view.storage.datasets,dmp.versions.view.storage.datasets
versions.view.storage.heading,dmp.versions.view.storage.heading
versions.view.storage.location,dmp.versions.view.storage.location
versions.view.storage.url,dmp.versions.view.storage.url
withdrawal,consent-popup.withdrawal.notice
yes,yes
