old_key,new_key,default_value_en,default_value_de,context,file_source
admin.internal-storage-translations,admin.internal-storage-translations,Translations for: ,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.internal-storage-translations-no-selected,admin.internal-storage-translations-no-selected,Translations,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.reset-selection,admin.reset-selection,Reset selection,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.action.activate,admin.table.action.activate,Activate,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.action.deactivate,admin.table.action.deactivate,Deactivate,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.action.delete,admin.table.action.delete,Delete,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.action.edit,admin.table.action.edit,Edit,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.action.translation,admin.table.action.translation,Translations,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.empty,admin.table.empty,No data available,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.action,admin.table.header.action,Actions,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.active,admin.table.header.active,Active,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.backupFrequency,admin.table.header.backupFrequency,Backup Frequency,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.backupLocation,admin.table.header.backupLocation,Backup Location,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.description,admin.table.header.description,Description,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.langugageCode,admin.table.header.langugageCode,Language Code,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.storageLocation,admin.table.header.storageLocation,Storage Location,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.title,admin.table.header.title,Title,,Page or section title,libs/damap/src/assets/i18n/admin/en.json
admin.table.header.url,admin.table.header.url,URL,,Table header,libs/damap/src/assets/i18n/admin/en.json
admin.table.no-selected,admin.table.no-selected,No internal storage selected,,General UI text,libs/damap/src/assets/i18n/admin/en.json
admin.title,admin.title,Admin page,,Page or section title,libs/damap/src/assets/i18n/admin/en.json
admin.translation-info,admin.translation-info,"In order to see the translations for a specific internal storage, please select the internal storage from the list in the actions menu, and the option 'Translations'.",,Help or information text,libs/damap/src/assets/i18n/admin/en.json
