Old Key,New Key,Value,Suggested Key,Suggested Key Value
dmp.steps.data.specify.answer.kind.reuse.none,COULD_NOT_BE_AUTO_REPLACE,No data will be reused.,dmp.steps.summary.data.specify.datasets.none.reused,No data will be reused.
dmp.steps.data.specify.tab.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,dmp.steps.data.specify.dialog.button.cancel,Cancel(9)
dmp.steps.data.specify.tab.storage,COULD_NOT_BE_AUTO_REPLACE,Storage,dmp.steps.storage.view.button.storage,Storage(2)
dmp.steps.data.specify.button.add.doi,dmp.steps.data.specify.button.addFromDoi,Add dataset,dmp.steps.data.specify.button.addFromDoi,Add dataset(2)
dmp.steps.data.specify.dialog.add,dmp.steps.data.specify.dialog.title.create,Add dataset,dmp.steps.data.specify.dialog.title.create,Add dataset(2)
dmp.steps.data.specify.dialog.license,COULD_NOT_BE_AUTO_REPLACE,License,dmp.steps.data.specify.table.header.license,License(3)
dmp.steps.documentation.question.otherDataQuality,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
[outdated_translation_value]dmp.steps.legal.question.otherDataSecurityMeasures,dmp.steps.legal.question.long.otherDataSecurityMeasures,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
[outdated_translation_value]dmp.steps.legal.question.otherPersonalDataCompliance,dmp.steps.legal.question.long.otherPersonalDataCompliance,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
dmp.steps.ethical.question.committeeReviewed.researchCommittee.link,dmp.steps.legal.question.committeeReviewed.researchCommittee.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee,dmp.steps.legal.question.committeeReviewed.researchCommittee.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee(2)
dmp.steps.costs.question.title,dmp.steps.costs.question.name,Name,dmp.steps.costs.question.name,Name(2)
dmp.dialog.title,version-save.dialog.title,Save new version,version-save.dialog.title,Save new version
dmp.dialog.button.cancel,version-save.dialog.button.cancel,Cancel,delete.dialog.button.cancel,Cancel(9)
dmp.dialog.button.save,version-save.dialog.button.save,Save,version-save.dialog.button.save,Save(2)
[missing_key]button.actions,COULD_NOT_BE_AUTO_REPLACE,Actions,admin.internalStorage.table.header.actions,Actions(2)
button.version,COULD_NOT_BE_AUTO_REPLACE,Save new version,version-save.dialog.title,Save new version
license.wizard.answer.data,COULD_NOT_BE_AUTO_REPLACE,Data,license-wizard.answer.data,Data
license.wizard.license.agpl3.name,COULD_NOT_BE_AUTO_REPLACE,GNU Affero General Public License v3.0 or later,license-wizard.license.agpl3.name,GNU Affero General Public License v3.0 or later(2)
license.wizard.license.agpl3plus.name,COULD_NOT_BE_AUTO_REPLACE,GNU Affero General Public License v3.0 or later,license-wizard.license.agpl3plus.name,GNU Affero General Public License v3.0 or later(2)
license.wizard.license.artistic1.description,COULD_NOT_BE_AUTO_REPLACE,"NOTE: This license has been superseded by the Artistic License, Version 2.0. This is a license for software packages with the intent of giving the original copyright holder some measure of control over his software while still remaining open source. It is flexible and allows you to distribute or sell modified versions as long as you fulfill one of various conditions. Look at section 4 in the full text for a better explanation.",license-wizard.license.artistic1.description,"NOTE: This license has been superseded by the Artistic License, Version 2.0. This is a license for software packages with the intent of giving the original copyright holder some measure of control over his software while still remaining open source. It is flexible and allows you to distribute or sell modified versions as long as you fulfill one of various conditions. Look at section 4 in the full text for a better explanation.(2)"
license.wizard.license.artistic1Perl.description,COULD_NOT_BE_AUTO_REPLACE,"NOTE: This license has been superseded by the Artistic License, Version 2.0. This is a license for software packages with the intent of giving the original copyright holder some measure of control over his software while still remaining open source. It is flexible and allows you to distribute or sell modified versions as long as you fulfill one of various conditions. Look at section 4 in the full text for a better explanation.",license-wizard.license.artistic1Perl.description,"NOTE: This license has been superseded by the Artistic License, Version 2.0. This is a license for software packages with the intent of giving the original copyright holder some measure of control over his software while still remaining open source. It is flexible and allows you to distribute or sell modified versions as long as you fulfill one of various conditions. Look at section 4 in the full text for a better explanation.(2)"
license.wizard.license.epl1.description,COULD_NOT_BE_AUTO_REPLACE,"This license, made and used by the Eclipse Foundation, isn’t all too stringent and gives both copyright and explicit patent rights. Check the full text of the license to see how liability is accorded.",license-wizard.license.epl1.description,"This license, made and used by the Eclipse Foundation, isn’t all too stringent and gives both copyright and explicit patent rights. Check the full text of the license to see how liability is accorded.(2)"
license.wizard.license.epl2.description,COULD_NOT_BE_AUTO_REPLACE,"This license, made and used by the Eclipse Foundation, isn’t all too stringent and gives both copyright and explicit patent rights. Check the full text of the license to see how liability is accorded.",license-wizard.license.epl2.description,"This license, made and used by the Eclipse Foundation, isn’t all too stringent and gives both copyright and explicit patent rights. Check the full text of the license to see how liability is accorded.(2)"
